Body Regions;A01
Polycystic Ovary Syndrome;C04.182.612.765
Pancreatic Cyst;C04.182.640
Pancreatic Pseudocyst;C04.182.640.692
Parovarian Cyst;C04.182.668
Pilonidal Sinus;C04.182.710
Ranula;C04.182.766
Synovial Cyst;C04.182.867
Popliteal Cyst;C04.182.867.500
Tarlov Cysts;C04.182.872
Thyroglossal Cyst;C04.182.902
Urachal Cyst;C04.182.946
Hamartoma;C04.445
Hamartoma Syndrome, Multiple;C04.445.435
Proteus Syndrome;C04.445.435.500
Pallister-Hall Syndrome;C04.445.622
Tuberous Sclerosis;C04.445.810
Neoplasms by Histologic Type;C04.557
Histiocytic Disorders, Malignant;C04.557.227
Dendritic Cell Sarcoma, Follicular;C04.557.227.190
Dendritic Cell Sarcoma, Interdigitating;C04.557.227.199
Histiocytic Sarcoma;C04.557.227.380
Langerhans Cell Sarcoma;C04.557.227.500
Leukemia;C04.557.337
Enzootic Bovine Leukosis;C04.557.337.100
Leukemia, Experimental;C04.557.337.372
Avian Leukosis;C04.557.337.372.216
Leukemia L1210;C04.557.337.372.594
Leukemia L5178;C04.557.337.372.602
Leukemia P388;C04.557.337.372.782
Leukemia, Feline;C04.557.337.385
Leukemia, Hairy Cell;C04.557.337.415
Leukemia, Lymphoid;C04.557.337.428
Leukemia, B-Cell;C04.557.337.428.080
Leukemia, Lymphocytic, Chronic, B-Cell;C04.557.337.428.080.125
Leukemia, Prolymphocytic, B-Cell;C04.557.337.428.080.562
Leukemia, Biphenotypic, Acute;C04.557.337.428.100
Leukemia, Prolymphocytic;C04.557.337.428.565
Leukemia, Prolymphocytic, B-Cell;C04.557.337.428.565.745
Leukemia, Prolymphocytic, T-Cell;C04.557.337.428.565.750
Leukemia, T-Cell;C04.557.337.428.580
Leukemia, Large Granular Lymphocytic;C04.557.337.428.580.049
Leukemia-Lymphoma, Adult T-Cell;C04.557.337.428.580.100
Leukemia, Prolymphocytic, T-Cell;C04.557.337.428.580.125
Precursor Cell Lymphoblastic Leukemia-Lymphoma;C04.557.337.428.600
Precursor B-Cell Lymphoblastic Leukemia-Lymphoma;C04.557.337.428.600.600
Precursor T-Cell Lymphoblastic Leukemia-Lymphoma;C04.557.337.428.600.620
Leukemia, Mast-Cell;C04.557.337.440
Leukemia, Myeloid;C04.557.337.539
Leukemia, Myelogenous, Chronic, BCR-ABL Positive;C04.557.337.539.250
Blast Crisis;C04.557.337.539.250.100
Leukemia, Myeloid, Accelerated Phase;C04.557.337.539.250.300
Leukemia, Myeloid, Chronic-Phase;C04.557.337.539.250.400
Leukemia, Myeloid, Acute;C04.557.337.539.275
Leukemia, Basophilic, Acute;C04.557.337.539.275.125
Leukemia, Eosinophilic, Acute;C04.557.337.539.275.300
Leukemia, Erythroblastic, Acute;C04.557.337.539.275.325
Leukemia, Mast-Cell;C04.557.337.539.275.440
Leukemia, Megakaryoblastic, Acute;C04.557.337.539.275.450
Leukemia, Monocytic, Acute;C04.557.337.539.275.484
Leukemia, Promyelocytic, Acute;C04.557.337.539.275.700
Leukemia, Myeloid, Chronic, Atypical, BCR-ABL Negative;C04.557.337.539.300
Leukemia, Myelomonocytic, Acute;C04.557.337.539.520
Leukemia, Myelomonocytic, Chronic;C04.557.337.539.522
Leukemia, Myelomonocytic, Juvenile;C04.557.337.539.525
Sarcoma, Myeloid;C04.557.337.539.775
Leukemia, Plasma Cell;C04.557.337.595
Leukemia, Radiation-Induced;C04.557.337.650
Lymphatic Vessel Tumors;C04.557.375
Lymphangioma;C04.557.375.450
Lymphangioma, Cystic;C04.557.375.450.450
Lymphangiomyoma;C04.557.375.460
Lymphangioleiomyomatosis;C04.557.375.460.465
Lymphangiosarcoma;C04.557.375.480
Lymphoma;C04.557.386
Composite Lymphoma;C04.557.386.150
Hodgkin Disease;C04.557.386.355
Immunoproliferative Small Intestinal Disease;C04.557.386.390
Intraocular Lymphoma;C04.557.386.435
Lymphoma, Non-Hodgkin;C04.557.386.480
Burkitt Lymphoma;C04.557.386.480.100
Lymphoma, B-Cell;C04.557.386.480.150
Burkitt Lymphoma;C04.557.386.480.150.165
Lymphoma, AIDS-Related;C04.557.386.480.150.450
Lymphoma, B-Cell, Marginal Zone;C04.557.386.480.150.570
Lymphoma, Large B-Cell, Diffuse;C04.557.386.480.150.585
Lymphoma, Primary Effusion;C04.557.386.480.150.592
Lymphomatoid Granulomatosis;C04.557.386.480.150.600
Lymphoma, Follicular;C04.557.386.480.350
Lymphoma, Large-Cell, Anaplastic;C04.557.386.480.487
Lymphoma, Large-Cell, Immunoblastic;C04.557.386.480.493
Lymphoma, Mantle-Cell;C04.557.386.480.525
Lymphoma, T-Cell;C04.557.386.480.750
Enteropathy-Associated T-Cell Lymphoma;C04.557.386.480.750.099
Lymphoma, Extranodal NK-T-Cell;C04.557.386.480.750.199
Lymphoma, Large-Cell, Anaplastic;C04.557.386.480.750.399
Lymphoma, T-Cell, Cutaneous;C04.557.386.480.750.800
Lymphoma, Primary Cutaneous Anaplastic Large Cell;C04.557.386.480.750.800.507
Lymphomatoid Papulosis;C04.557.386.480.750.800.528
Mycosis Fungoides;C04.557.386.480.750.800.550
Pagetoid Reticulosis;C04.557.386.480.750.800.550.600
Sezary Syndrome;C04.557.386.480.750.800.775
Lymphoma, T-Cell, Peripheral;C04.557.386.480.750.825
Neoplasms, Complex and Mixed;C04.557.435
Adenolymphoma;C04.557.435.075
Adenoma, Pleomorphic;C04.557.435.090
Adenomyoepithelioma;C04.557.435.108
Adenomyoma;C04.557.435.110
Adenosarcoma;C04.557.435.135
Carcinoma, Adenosquamous;C04.557.435.250
Carcinosarcoma;C04.557.435.290
Carcinoma 256, Walker;C04.557.435.290.210
Composite Lymphoma;C04.557.435.295
Hepatoblastoma;C04.557.435.380
Mesenchymoma;C04.557.435.500
Mixed Tumor, Malignant;C04.557.435.525
Mixed Tumor, Mesodermal;C04.557.435.530
Mixed Tumor, Mullerian;C04.557.435.540
Myoepithelioma;C04.557.435.585
Wilms Tumor;C04.557.435.595
Denys-Drash Syndrome;C04.557.435.595.220
WAGR Syndrome;C04.557.435.595.950
Nephroma, Mesoblastic;C04.557.435.600
Pulmonary Blastoma;C04.557.435.675
Rhabdoid Tumor;C04.557.435.710
Sarcoma, Endometrial Stromal;C04.557.435.775
Thymoma;C04.557.435.850
Neoplasms, Connective and Soft Tissue;C04.557.450
Neoplasms, Adipose Tissue;C04.557.450.550
Angiolipoma;C04.557.450.550.100
Angiomyolipoma;C04.557.450.550.125
Lipoma;C04.557.450.550.400
Lipoblastoma;C04.557.450.550.400.500
Liposarcoma;C04.557.450.550.420
Liposarcoma, Myxoid;C04.557.450.550.420.425
Myelolipoma;C04.557.450.550.710
Neoplasms, Connective Tissue;C04.557.450.565
Chondroblastoma;C04.557.450.565.250
Chondroma;C04.557.450.565.265
Chondromatosis;C04.557.450.565.265.270
Chondrosarcoma;C04.557.450.565.280
Chondrosarcoma, Mesenchymal;C04.557.450.565.280.280
Endometrial Stromal Tumors;C04.557.450.565.325
Gastrointestinal Stromal Tumors;C04.557.450.565.370
Giant Cell Tumors;C04.557.450.565.380
Giant Cell Tumor of Bone;C04.557.450.565.380.380
Mastocytosis;C04.557.450.565.465
Mast-Cell Sarcoma;C04.557.450.565.465.124
Mastocytoma;C04.557.450.565.465.249
Mastocytoma, Skin;C04.557.450.565.465.249.500
Mastocytosis, Cutaneous;C04.557.450.565.465.500
Mastocytoma, Skin;C04.557.450.565.465.500.500
Urticaria Pigmentosa;C04.557.450.565.465.500.850
Mastocytosis, Systemic;C04.557.450.565.465.750
Leukemia, Mast-Cell;C04.557.450.565.465.750.500
Myofibroma;C04.557.450.565.540
Myxoma;C04.557.450.565.550
Carney Complex;C04.557.450.565.550.312
Neurothekeoma;C04.557.450.565.550.625
Myxosarcoma;C04.557.450.565.560
Neoplasms, Bone Tissue;C04.557.450.565.575
Fibroma, Ossifying;C04.557.450.565.575.400
Giant Cell Tumor of Bone;C04.557.450.565.575.420
Osteoblastoma;C04.557.450.565.575.600
Osteochondroma;C04.557.450.565.575.610
Osteochondromatosis;C04.557.450.565.575.610.615
Exostoses, Multiple Hereditary;C04.557.450.565.575.610.615.325
Osteoma;C04.557.450.565.575.625
Osteoma, Osteoid;C04.557.450.565.575.625.625
Osteosarcoma;C04.557.450.565.575.650
Osteosarcoma, Juxtacortical;C04.557.450.565.575.650.655
Sarcoma, Ewing;C04.557.450.565.575.650.800
Neoplasms, Fibrous Tissue;C04.557.450.565.590
Fibroma;C04.557.450.565.590.340
Fibroma, Desmoplastic;C04.557.450.565.590.340.345
Fibroma, Ossifying;C04.557.450.565.590.340.360
Fibromatosis, Abdominal;C04.557.450.565.590.340.400
Fibromatosis, Aggressive;C04.557.450.565.590.340.410
Fibrosarcoma;C04.557.450.565.590.350
Dermatofibrosarcoma;C04.557.450.565.590.350.320
Neurofibrosarcoma;C04.557.450.565.590.350.590
Histiocytoma;C04.557.450.565.590.425
Histiocytoma, Benign Fibrous;C04.557.450.565.590.425.350
Histiocytoma, Malignant Fibrous;C04.557.450.565.590.425.360
Myofibromatosis;C04.557.450.565.590.550
Neoplasms, Fibroepithelial;C04.557.450.565.590.595
Adenofibroma;C04.557.450.565.590.595.050
Cystadenofibroma;C04.557.450.565.590.595.050.500
Brenner Tumor;C04.557.450.565.590.595.150
Fibroadenoma;C04.557.450.565.590.595.350
Solitary Fibrous Tumors;C04.557.450.565.590.797
Solitary Fibrous Tumor, Pleural;C04.557.450.565.590.797.750
Sarcoma, Clear Cell;C04.557.450.565.800
Sarcoma, Small Cell;C04.557.450.565.825
Sarcoma, Synovial;C04.557.450.565.835
Neoplasms, Muscle Tissue;C04.557.450.590
Granular Cell Tumor;C04.557.450.590.350
Leiomyoma;C04.557.450.590.450
Angiomyoma;C04.557.450.590.450.125
Leiomyoma, Epithelioid;C04.557.450.590.450.455
Leiomyomatosis;C04.557.450.590.450.465
Leiomyosarcoma;C04.557.450.590.455
Myoma;C04.557.450.590.540
Rhabdomyoma;C04.557.450.590.540.700
Myosarcoma;C04.557.450.590.550
Rhabdomyosarcoma;C04.557.450.590.550.660
Rhabdomyosarcoma, Alveolar;C04.557.450.590.550.660.665
Rhabdomyosarcoma, Embryonal;C04.557.450.590.550.660.675
Sarcoma, Alveolar Soft Part;C04.557.450.590.775
Smooth Muscle Tumor;C04.557.450.590.800
Perivascular Epithelioid Cell Neoplasms;C04.557.450.692
Angiomyolipoma;C04.557.450.692.249
Lymphangioleiomyomatosis;C04.557.450.692.500
Sarcoma;C04.557.450.795
Adenosarcoma;C04.557.450.795.135
Carcinosarcoma;C04.557.450.795.290
Carcinoma 256, Walker;C04.557.450.795.290.210
Chondrosarcoma;C04.557.450.795.300
Chondrosarcoma, Mesenchymal;C04.557.450.795.300.280
Desmoplastic Small Round Cell Tumor;C04.557.450.795.315
Endometrial Stromal Tumors;C04.557.450.795.332
Sarcoma, Endometrial Stromal;C04.557.450.795.332.500
Fibrosarcoma;C04.557.450.795.350
Dermatofibrosarcoma;C04.557.450.795.350.320
Neurofibrosarcoma;C04.557.450.795.350.590
Hemangiosarcoma;C04.557.450.795.390
Histiocytoma, Malignant Fibrous;C04.557.450.795.400
Leiomyosarcoma;C04.557.450.795.455
Liposarcoma;C04.557.450.795.465
Liposarcoma, Myxoid;C04.557.450.795.465.425
Lymphangiosarcoma;C04.557.450.795.480
Mixed Tumor, Mesodermal;C04.557.450.795.530
Myosarcoma;C04.557.450.795.550
Rhabdomyosarcoma;C04.557.450.795.550.660
Rhabdomyosarcoma, Alveolar;C04.557.450.795.550.660.665
Rhabdomyosarcoma, Embryonal;C04.557.450.795.550.660.675
Myxosarcoma;C04.557.450.795.560
Osteosarcoma;C04.557.450.795.620
Osteosarcoma, Juxtacortical;C04.557.450.795.620.655
Sarcoma, Ewing;C04.557.450.795.620.800
Phyllodes Tumor;C04.557.450.795.650
Sarcoma, Alveolar Soft Part;C04.557.450.795.775
Sarcoma, Clear Cell;C04.557.450.795.800
Sarcoma, Experimental;C04.557.450.795.830
Sarcoma 37;C04.557.450.795.830.760
Sarcoma 180;C04.557.450.795.830.780
Sarcoma, Avian;C04.557.450.795.830.800
Sarcoma, Yoshida;C04.557.450.795.830.850
Sarcoma, Kaposi;C04.557.450.795.850
Sarcoma, Myeloid;C04.557.450.795.853
Sarcoma, Small Cell;C04.557.450.795.870
Sarcoma, Synovial;C04.557.450.795.875
Neoplasms, Germ Cell and Embryonal;C04.557.465
Carcinoma, Embryonal;C04.557.465.200
Chordoma;C04.557.465.220
Germinoma;C04.557.465.330
Dysgerminoma;C04.557.465.330.300
Seminoma;C04.557.465.330.800
Gonadoblastoma;C04.557.465.420
Mesonephroma;C04.557.465.510
Endodermal Sinus Tumor;C04.557.465.510.350
Neuroectodermal Tumors;C04.557.465.625
Craniopharyngioma;C04.557.465.625.200
Neoplasms, Neuroepithelial;C04.557.465.625.600
Ganglioneuroma;C04.557.465.625.600.355
Glioma;C04.557.465.625.600.380
Astrocytoma;C04.557.465.625.600.380.080
Glioblastoma;C04.557.465.625.600.380.080.335
Optic Nerve Glioma;C04.557.465.625.600.380.080.667
Ependymoma;C04.557.465.625.600.380.290
Glioma, Subependymal;C04.557.465.625.600.380.290.390
Ganglioglioma;C04.557.465.625.600.380.350
Gliosarcoma;C04.557.465.625.600.380.400
Medulloblastoma;C04.557.465.625.600.380.515
Oligodendroglioma;C04.557.465.625.600.380.590
Optic Nerve Glioma;C04.557.465.625.600.380.795
Neurocytoma;C04.557.465.625.600.580
Neuroectodermal Tumors, Primitive;C04.557.465.625.600.590
Medulloblastoma;C04.557.465.625.600.590.500
Neuroectodermal Tumors, Primitive, Peripheral;C04.557.465.625.600.590.650
Neuroblastoma;C04.557.465.625.600.590.650.550
Esthesioneuroblastoma, Olfactory;C04.557.465.625.600.590.650.550.150
Ganglioneuroblastoma;C04.557.465.625.600.590.650.550.300
Pinealoma;C04.557.465.625.600.657
Retinoblastoma;C04.557.465.625.600.725
Neuroectodermal Tumor, Melanotic;C04.557.465.625.630
Neuroendocrine Tumors;C04.557.465.625.650
Adenoma, Acidophil;C04.557.465.625.650.025
Adenoma, Basophil;C04.557.465.625.650.075
Adenoma, Chromophobe;C04.557.465.625.650.095
Apudoma;C04.557.465.625.650.135
Carcinoid Tumor;C04.557.465.625.650.200
Malignant Carcinoid Syndrome;C04.557.465.625.650.200.500
Carcinoid Heart Disease;C04.557.465.625.650.200.500.205
Carcinoma, Neuroendocrine;C04.557.465.625.650.240
Carcinoma, Medullary;C04.557.465.625.650.240.315
Carcinoma, Merkel Cell;C04.557.465.625.650.240.325
Somatostatinoma;C04.557.465.625.650.240.695
Vipoma;C04.557.465.625.650.240.847
Melanoma;C04.557.465.625.650.510
Hutchinson's Melanotic Freckle;C04.557.465.625.650.510.385
Melanoma, Amelanotic;C04.557.465.625.650.510.515
Melanoma, Experimental;C04.557.465.625.650.510.525
Neurilemmoma;C04.557.465.625.650.595
Neuroma, Acoustic;C04.557.465.625.650.595.610
Neurofibromatosis 2;C04.557.465.625.650.595.610.500
Paraganglioma;C04.557.465.625.650.700
Paraganglioma, Extra-Adrenal;C04.557.465.625.650.700.705
Carotid Body Tumor;C04.557.465.625.650.700.705.220
Glomus Jugulare Tumor;C04.557.465.625.650.700.705.340
Glomus Tympanicum Tumor;C04.557.465.625.650.700.705.360
Pheochromocytoma;C04.557.465.625.650.700.725
Teratocarcinoma;C04.557.465.900
Teratoma;C04.557.465.910
Dermoid Cyst;C04.557.465.910.250
Struma Ovarii;C04.557.465.910.850
Trophoblastic Neoplasms;C04.557.465.955
Choriocarcinoma;C04.557.465.955.207
Choriocarcinoma, Non-gestational;C04.557.465.955.207.750
Trophoblastic Tumor, Placental Site;C04.557.465.955.207.875
Gestational Trophoblastic Disease;C04.557.465.955.416
Choriocarcinoma;C04.557.465.955.416.202
Trophoblastic Tumor, Placental Site;C04.557.465.955.416.202.875
Hydatidiform Mole;C04.557.465.955.416.812
Hydatidiform Mole, Invasive;C04.557.465.955.416.812.500
Neoplasms, Glandular and Epithelial;C04.557.470
Adenoma;C04.557.470.035
ACTH-Secreting Pituitary Adenoma;C04.557.470.035.012
Adenoma, Acidophil;C04.557.470.035.025
Adenoma, Basophil;C04.557.470.035.075
Adenoma, Bile Duct;C04.557.470.035.085
Adenoma, Chromophobe;C04.557.470.035.095
Adenoma, Islet Cell;C04.557.470.035.100
Insulinoma;C04.557.470.035.100.852
Adenoma, Liver Cell;C04.557.470.035.120
Adenoma, Oxyphilic;C04.557.470.035.140
Adenoma, Pleomorphic;C04.557.470.035.155
Adenoma, Sweat Gland;C04.557.470.035.175
Acrospiroma;C04.557.470.035.175.125
Poroma;C04.557.470.035.175.125.600
Hidrocystoma;C04.557.470.035.175.375
Syringoma;C04.557.470.035.175.800
Adenoma, Villous;C04.557.470.035.185
Adenomatoid Tumor;C04.557.470.035.200
Adenomatosis, Pulmonary;C04.557.470.035.210
Adenomatous Polyps;C04.557.470.035.215
Adenomatous Polyposis Coli;C04.557.470.035.215.100
Gardner Syndrome;C04.557.470.035.215.100.500
Adrenal Rest Tumor;C04.557.470.035.232
Apudoma;C04.557.470.035.250
Cystadenoma;C04.557.470.035.320
Cystadenoma, Mucinous;C04.557.470.035.320.225
Cystadenoma, Papillary;C04.557.470.035.320.230
Cystadenoma, Serous;C04.557.470.035.320.240
Growth Hormone-Secreting Pituitary Adenoma;C04.557.470.035.415
Mesothelioma;C04.557.470.035.510
Mesothelioma, Cystic;C04.557.470.035.510.515
Prolactinoma;C04.557.470.035.625
Carcinoma;C04.557.470.200
Adenocarcinoma;C04.557.470.200.025
Adenocarcinoma in Situ;C04.557.470.200.025.014
Adenocarcinoma, Bronchiolo-Alveolar;C04.557.470.200.025.030
Adenocarcinoma, Clear Cell;C04.557.470.200.025.045
Adenocarcinoma, Follicular;C04.557.470.200.025.060
Carcinoma, Papillary, Follicular;C04.557.470.200.025.060.225
Adenocarcinoma, Mucinous;C04.557.470.200.025.075
Adenocarcinoma, Papillary;C04.557.470.200.025.085
Carcinoma, Papillary, Follicular;C04.557.470.200.025.085.225
Adenocarcinoma, Scirrhous;C04.557.470.200.025.095
Linitis Plastica;C04.557.470.200.025.095.410
Adenocarcinoma, Sebaceous;C04.557.470.200.025.105
Adrenocortical Carcinoma;C04.557.470.200.025.152
Carcinoid Tumor;C04.557.470.200.025.200
Malignant Carcinoid Syndrome;C04.557.470.200.025.200.500
Carcinoid Heart Disease;C04.557.470.200.025.200.500.205
Carcinoma, Acinar Cell;C04.557.470.200.025.215
Carcinoma, Adenoid Cystic;C04.557.470.200.025.220
Carcinoma, Ductal;C04.557.470.200.025.232
Carcinoma, Ductal, Breast;C04.557.470.200.025.232.500
Carcinoma, Pancreatic Ductal;C04.557.470.200.025.232.750
Carcinoma, Endometrioid;C04.557.470.200.025.240
Carcinoma, Hepatocellular;C04.557.470.200.025.255
Carcinoma, Intraductal, Noninfiltrating;C04.557.470.200.025.275
Paget's Disease, Mammary;C04.557.470.200.025.275.625
Carcinoma, Islet Cell;C04.557.470.200.025.290
Gastrinoma;C04.557.470.200.025.290.500
Glucagonoma;C04.557.470.200.025.290.750
Carcinoma, Lobular;C04.557.470.200.025.305
Carcinoma, Mucoepidermoid;C04.557.470.200.025.340
Carcinoma, Neuroendocrine;C04.557.470.200.025.370
Carcinoma, Medullary;C04.557.470.200.025.370.315
Carcinoma, Merkel Cell;C04.557.470.200.025.370.325
Somatostatinoma;C04.557.470.200.025.370.695
Vipoma;C04.557.470.200.025.370.847
Carcinoma, Renal Cell;C04.557.470.200.025.390
Carcinoma, Signet Ring Cell;C04.557.470.200.025.415
Krukenberg Tumor;C04.557.470.200.025.415.410
Carcinoma, Skin Appendage;C04.557.470.200.025.420
Cholangiocarcinoma;C04.557.470.200.025.450
Choriocarcinoma;C04.557.470.200.025.455
Choriocarcinoma, Non-gestational;C04.557.470.200.025.455.750
Trophoblastic Tumor, Placental Site;C04.557.470.200.025.455.875
Cystadenocarcinoma;C04.557.470.200.025.480
Cystadenocarcinoma, Mucinous;C04.557.470.200.025.480.225
Cystadenocarcinoma, Papillary;C04.557.470.200.025.480.230
Cystadenocarcinoma, Serous;C04.557.470.200.025.480.240
Eccrine Porocarcinoma;C04.557.470.200.025.500
Klatskin's Tumor;C04.557.470.200.025.540
Paget Disease, Extramammary;C04.557.470.200.025.660
Pulmonary Adenomatosis, Ovine;C04.557.470.200.025.715
Carcinoma, Adenosquamous;C04.557.470.200.150
Carcinoma, Basal Cell;C04.557.470.200.165
Basal Cell Nevus Syndrome;C04.557.470.200.165.150
Carcinoma, Basosquamous;C04.557.470.200.170
Carcinoma, Ehrlich Tumor;C04.557.470.200.200
Carcinoma, Giant Cell;C04.557.470.200.220
Carcinoma in Situ;C04.557.470.200.240
Adenocarcinoma in Situ;C04.557.470.200.240.124
Cervical Intraepithelial Neoplasia;C04.557.470.200.240.250
Prostatic Intraepithelial Neoplasia;C04.557.470.200.240.500
Carcinoma, Krebs 2;C04.557.470.200.255
Carcinoma, Large Cell;C04.557.470.200.260
Carcinoma, Lewis Lung;C04.557.470.200.280
Carcinoma, Papillary;C04.557.470.200.360
Carcinoma, Small Cell;C04.557.470.200.380
Carcinoma, Squamous Cell;C04.557.470.200.400
Bowen's Disease;C04.557.470.200.400.130
Carcinoma, Transitional Cell;C04.557.470.200.430
Carcinoma, Verrucous;C04.557.470.200.450
Buschke-Lowenstein Tumor;C04.557.470.200.450.500
Thyroid Carcinoma, Anaplastic;C04.557.470.200.725
Neoplasms, Adnexal and Skin Appendage;C04.557.470.550
Adenocarcinoma, Sebaceous;C04.557.470.550.105
Adenoma, Sweat Gland;C04.557.470.550.175
Acrospiroma;C04.557.470.550.175.125
Poroma;C04.557.470.550.175.125.600
Hidrocystoma;C04.557.470.550.175.375
Syringoma;C04.557.470.550.175.800
Carcinoma, Skin Appendage;C04.557.470.550.420
Neoplasms, Basal Cell;C04.557.470.565
Carcinoma, Basal Cell;C04.557.470.565.165
Basal Cell Nevus Syndrome;C04.557.470.565.165.150
Carcinoma, Basosquamous;C04.557.470.565.170
Pilomatrixoma;C04.557.470.565.625
Neoplasms, Cystic, Mucinous, and Serous;C04.557.470.590
Adenocarcinoma, Mucinous;C04.557.470.590.075
Carcinoma, Mucoepidermoid;C04.557.470.590.340
Carcinoma, Signet Ring Cell;C04.557.470.590.415
Krukenberg Tumor;C04.557.470.590.415.410
Cystadenocarcinoma;C04.557.470.590.480
Cystadenocarcinoma, Mucinous;C04.557.470.590.480.225
Cystadenocarcinoma, Papillary;C04.557.470.590.480.230
Cystadenocarcinoma, Serous;C04.557.470.590.480.240
Cystadenofibroma;C04.557.470.590.482
Cystadenoma;C04.557.470.590.485
Cystadenoma, Mucinous;C04.557.470.590.485.225
